256,0.357771,1000
0,0,0.0210453,0.0210453
0,0,0.0420907,0.0210453
0,0,0.063136,0.0210453
0,0,0.0841814,0.0210453
0,0,0.0210453,0.0420907
0,0,0.0420907,0.0420907
0,0,0.063136,0.0420907
0,0,0.0841814,0.0420907
0,0,0.0210453,0.063136
0,0,0.0420907,0.063136
0,0,0.063136,0.063136
0,0,0.0841814,0.063136
0,0,0.0210453,0.0841814
0,0,0.0420907,0.0841814
0,0,0.063136,0.0841814
0,0,0.0841814,0.0841814
2,0,0.0218694,0.0213961
2,0,0.0416063,0.0208695
2,0,0.0634072,0.0202122
2,0,0.08387,0.0202306
2,0,0.0200525,0.0415192
2,0,0.0415028,0.0414347
2,0,0.0621557,0.0422209
2,0,0.0849649,0.0429816
2,0,0.020802,0.0631144
2,0,0.0412615,0.0638538
2,0,0.0628256,0.0639987
2,0,0.083675,0.0628841
2,0,0.0214449,0.084199
2,0,0.0411632,0.0837094
2,0,0.0627094,0.0850447
2,0,0.0836337,0.0836391
4,0,0.0636784,0.019379
4,0,0.0835586,0.0194158
4,0,0.0226934,0.0217469
4,0,0.0411218,0.0206937
4,0,0.0190597,0.0409477
4,0,0.0409149,0.0407788
4,0,0.0611753,0.042351
4,0,0.0857484,0.0438726
4,0,0.0205586,0.0630928
4,0,0.0404322,0.0645716
4,0,0.0625152,0.0648613
4,0,0.0831686,0.0626323
4,0,0.0218444,0.0842166
4,0,0.0402357,0.0832374
4,0,0.0622828,0.085908
4,0,0.083086,0.0830967
6,0,0.0639496,0.0185459
6,0,0.0832472,0.0186011
6,0,0.0235174,0.0220977
6,0,0.0406374,0.0205178
6,0,0.0180668,0.0403762
6,0,0.040327,0.0401228
6,0,0.060195,0.0424812
6,0,0.086532,0.0447635
6,0,0.0203152,0.0630712
6,0,0.039603,0.0652894
6,0,0.0622047,0.065724
6,0,0.0826623,0.0623804
6,0,0.0222439,0.0842342
6,0,0.0393082,0.0827654
6,0,0.0618562,0.0867713
6,0,0.0825383,0.0825544
8,0,0.0642208,0.0177127
8,0,0.0829358,0.0177863
8,0,0.0243414,0.0224485
8,0,0.0401529,0.020342
8,0,0.017074,0.0398047
8,0,0.0397392,0.0394668
8,0,0.0592146,0.0426114
8,0,0.0873155,0.0456545
8,0,0.0200718,0.0630496
8,0,0.0387737,0.0660073
8,0,0.0618943,0.0665867
8,0,0.0821559,0.0621285
8,0,0.0226434,0.0842518
8,0,0.0383808,0.0822933
8,0,0.0614295,0.0876346
8,0,0.0819906,0.0820121
10,0,0.064492,0.0168796
10,0,0.0826243,0.0169715
10,0,0.0251654,0.0227993
10,0,0.0396685,0.0201661
10,0,0.0160811,0.0392332
10,0,0.0391513,0.0388109
10,0,0.0582343,0.0427416
10,0,0.088099,0.0465454
10,0,0.0198284,0.063028
10,0,0.0379445,0.0667251
10,0,0.0615838,0.0674493
10,0,0.0816495,0.0618766
10,0,0.0230429,0.0842694
10,0,0.0374533,0.0818213
10,0,0.0610029,0.0884979
10,0,0.0814429,0.0814698
12,0,0.0391841,0.0199903
12,0,0.0647631,0.0160464
12,0,0.0823129,0.0161568
12,0,0.0259894,0.02315
12,0,0.0150883,0.0386617
12,0,0.0385634,0.0381549
12,0,0.0572539,0.0428717
12,0,0.0888825,0.0474364
12,0,0.019585,0.0630064
12,0,0.0371153,0.0674429
12,0,0.0612734,0.068312
12,0,0.0811431,0.0616247
12,0,0.0234424,0.084287
12,0,0.0365258,0.0813493
12,0,0.0605763,0.0893612
12,0,0.0808952,0.0809275
14,0,0.0386996,0.0198144
14,0,0.0650343,0.0152133
14,0,0.0820015,0.015342
14,0,0.0268134,0.0235008
14,0,0.0140954,0.0380902
14,0,0.0379755,0.037499
14,0,0.0562736,0.0430019
14,0,0.0896661,0.0483273
14,0,0.0193417,0.0629848
14,0,0.036286,0.0681607
14,0,0.0609629,0.0691746
14,0,0.0806367,0.0613728
14,0,0.0238419,0.0843046
14,0,0.0355983,0.0808773
14,0,0.0803475,0.0803851
16,0,0.0382152,0.0196386
16,0,0.0653055,0.0143801
16,0,0.0816901,0.0145272
16,0,0.0276374,0.0238516
16,0,0.0131026,0.0375187
16,0,0.0373876,0.036843
16,0,0.0552932,0.0431321
16,0,0.0190983,0.0629632
16,0,0.0354568,0.0688785
16,0,0.0801304,0.0611209
16,0,0.0606525,0.0700373
16,0,0.0797998,0.0798428
16,0,0.0242415,0.0843222
16,0,0.0346708,0.0804053
18,0,0.0377307,0.0194627
18,0,0.0655767,0.013547
18,0,0.0813787,0.0137125
18,0,0.0284614,0.0242024
18,0,0.0121098,0.0369472
18,0,0.0367997,0.036187
18,0,0.0543129,0.0432623
18,0,0.0188549,0.0629416
18,0,0.0346276,0.0695963
18,0,0.079624,0.060869
18,0,0.0337434,0.0799333
18,0,0.060342,0.0708999
18,0,0.0792521,0.0793005
18,0,0.024641,0.0843399
20,0,0.0372545,0.0192821
20,0,0.0658479,0.0127138
20,0,0.0810673,0.0128977
20,0,0.0292773,0.0245579
20,0,0.0111169,0.0363757
20,0,0.0362119,0.0355311
20,0,0.0533325,0.0433924
20,0,0.0186115,0.06292
20,0,0.0791176,0.0606172
20,0,0.0328964,0.0794694
20,0,0.0338036,0.0702587
20,0,0.0600316,0.0717626
20,0,0.0787044,0.0787582
20,0,0.0249546,0.0844048
22,0,0.037111,0.0188705
22,0,0.0661191,0.0118807
22,0,0.0807559,0.0120829
22,0,0.0297603,0.0251445
22,0,0.0101241,0.0358042
22,0,0.035624,0.0348751
22,0,0.0523522,0.0435226
22,0,0.0183681,0.0628984
22,0,0.0786112,0.0603653
22,0,0.0325399,0.0794318
22,0,0.0330523,0.0701428
22,0,0.0597212,0.0726253
22,0,0.0781567,0.0782159
22,0,0.0247053,0.0848217
24,0,0.0372301,0.0182473
24,0,0.0663902,0.0110475
24,0,0.0804445,0.0112682
24,0,0.0299808,0.0259426
24,0,0.00913122,0.0352327
24,0,0.0350361,0.0342192
24,0,0.0513718,0.0436528
24,0,0.0181247,0.0628768
24,0,0.0323483,0.0693067
24,0,0.0781049,0.0601134
24,0,0.0325541,0.0798296
24,0,0.0594107,0.0734879
24,0,0.077609,0.0776735
24,0,0.0240379,0.0855233
